epoch,accuracy,loss,val_accuracy,val_loss
0,0.12660232186317444,2.079493522644043,0.125,2.0794410705566406
1,0.125,2.0794589519500732,0.125,2.0794410705566406
2,0.125,2.0794589519500732,0.125,2.0794410705566406
3,0.125,2.0794589519500732,0.125,2.0794410705566406
4,0.125,2.0794589519500732,0.125,2.0794410705566406
5,0.125,2.0794589519500732,0.125,2.0794410705566406
6,0.125,2.0794589519500732,0.125,2.0794410705566406
7,0.125,2.0794589519500732,0.125,2.0794410705566406
8,0.125,2.0794589519500732,0.125,2.0794410705566406
9,0.125,2.0794589519500732,0.125,2.0794410705566406
10,0.125,2.0794589519500732,0.125,2.0794410705566406
