config_id,name,size,topology,cost_proxy,uses_dsp,overall_acc,best_acc,snr_0dB,snr_2dB,snr_4dB,snr_6dB,snr_8dB,snr_10dB
K01,1x1_Point,1,Point,1,False,13.72,13.74,13.92,12.80,14.21,11.50,11.97,18.09
K02,3x3_Cross,3,Cross,5,False,12.58,12.58,13.92,12.80,14.21,11.50,11.25,11.96
K03,3x3_Box,3,Box,9,False,12.50,12.50,13.92,12.80,14.21,11.50,11.25,11.46
K04,3x3_Gaussian,3,Gaussian,18,True,12.50,12.50,13.92,12.80,14.21,11.50,11.25,11.46
K05,5x5_Cross,5,Cross,9,False,12.50,12.50,13.92,12.80,14.21,11.50,11.25,11.46
K06,5x5_Box,5,Box,25,False,12.50,12.50,13.92,12.80,14.21,11.50,11.25,11.46
K07,5x5_Gaussian,5,Gaussian,50,True,12.50,12.50,13.92,12.80,14.21,11.50,11.25,11.46
K08,7x7_Cross,7,Cross,13,False,12.50,12.50,13.92,12.80,14.21,11.50,11.25,11.46
K09,7x7_Box,7,Box,49,False,12.50,12.50,13.92,12.80,14.21,11.50,11.25,11.46
K10,7x7_Gaussian,7,Gaussian,98,True,12.50,12.50,13.92,12.80,14.21,11.50,11.25,11.46
K11,11x11_Cross,11,Cross,21,False,12.50,12.50,13.92,12.80,14.21,11.50,11.25,11.46
K12,11x11_Box,11,Box,121,False,12.50,12.50,13.92,12.80,14.21,11.50,11.25,11.46
K13,11x11_Gaussian,11,Gaussian,242,True,12.50,12.50,13.92,12.80,14.21,11.50,11.25,11.46
K14,15x15_Box,15,Box,225,False,12.50,12.50,13.92,12.80,14.21,11.50,11.25,11.46
K15,15x15_Gaussian,15,Gaussian,450,True,12.50,12.50,13.92,12.80,14.21,11.50,11.25,11.46
