config_id,row_index,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14
K01,0,128,,,,,,,,,,,,,,
K02,0,0,128,0,,,,,,,,,,,,
K02,1,128,128,128,,,,,,,,,,,,
K02,2,0,128,0,,,,,,,,,,,,
K03,0,128,128,128,,,,,,,,,,,,
K03,1,128,128,128,,,,,,,,,,,,
K03,2,128,128,128,,,,,,,,,,,,
K04,0,21,52,21,,,,,,,,,,,,
K04,1,52,128,52,,,,,,,,,,,,
K04,2,21,52,21,,,,,,,,,,,,
K05,0,0,0,128,0,0,,,,,,,,,,
K05,1,0,0,128,0,0,,,,,,,,,,
K05,2,128,128,128,128,128,,,,,,,,,,
K05,3,0,0,128,0,0,,,,,,,,,,
K05,4,0,0,128,0,0,,,,,,,,,,
K06,0,128,128,128,128,128,,,,,,,,,,
K06,1,128,128,128,128,128,,,,,,,,,,
K06,2,128,128,128,128,128,,,,,,,,,,
K06,3,128,128,128,128,128,,,,,,,,,,
K06,4,128,128,128,128,128,,,,,,,,,,
K07,0,9,25,35,25,9,,,,,,,,,,
K07,1,25,67,92,67,25,,,,,,,,,,
K07,2,35,92,128,92,35,,,,,,,,,,
K07,3,25,67,92,67,25,,,,,,,,,,
K07,4,9,25,35,25,9,,,,,,,,,,
K08,0,0,0,0,128,0,0,0,,,,,,,,
K08,1,0,0,0,128,0,0,0,,,,,,,,
K08,2,0,0,0,128,0,0,0,,,,,,,,
K08,3,128,128,128,128,128,128,128,,,,,,,,
K08,4,0,0,0,128,0,0,0,,,,,,,,
K08,5,0,0,0,128,0,0,0,,,,,,,,
K08,6,0,0,0,128,0,0,0,,,,,,,,
K09,0,128,128,128,128,128,128,128,,,,,,,,
K09,1,128,128,128,128,128,128,128,,,,,,,,
K09,2,128,128,128,128,128,128,128,,,,,,,,
K09,3,128,128,128,128,128,128,128,,,,,,,,
K09,4,128,128,128,128,128,128,128,,,,,,,,
K09,5,128,128,128,128,128,128,128,,,,,,,,
K09,6,128,128,128,128,128,128,128,,,,,,,,
K10,0,6,15,25,29,25,15,6,,,,,,,,
K10,1,15,34,56,66,56,34,15,,,,,,,,
K10,2,25,56,92,108,92,56,25,,,,,,,,
K10,3,29,66,108,128,108,66,29,,,,,,,,
K10,4,25,56,92,108,92,56,25,,,,,,,,
K10,5,15,34,56,66,56,34,15,,,,,,,,
K10,6,6,15,25,29,25,15,6,,,,,,,,
K11,0,0,0,0,0,0,128,0,0,0,0,0,,,,
K11,1,0,0,0,0,0,128,0,0,0,0,0,,,,
K11,2,0,0,0,0,0,128,0,0,0,0,0,,,,
K11,3,0,0,0,0,0,128,0,0,0,0,0,,,,
K11,4,0,0,0,0,0,128,0,0,0,0,0,,,,
K11,5,128,128,128,128,128,128,128,128,128,128,128,,,,
K11,6,0,0,0,0,0,128,0,0,0,0,0,,,,
K11,7,0,0,0,0,0,128,0,0,0,0,0,,,,
K11,8,0,0,0,0,0,128,0,0,0,0,0,,,,
K11,9,0,0,0,0,0,128,0,0,0,0,0,,,,
