config_id,name,size,topology,cost_proxy,uses_dsp,overall_acc,best_acc,snr_0dB,snr_2dB,snr_4dB,snr_6dB,snr_8dB,snr_10dB
K01,1x1_Point,1,Point,1,False,65.89,66.45,38.61,53.23,71.47,76.71,77.81,78.09
K02,3x3_Cross,3,Cross,5,False,69.35,69.69,40.61,56.75,72.73,80.87,82.56,82.11
K03,3x3_Box,3,Box,9,False,66.16,66.30,37.45,46.27,69.91,79.90,82.97,81.41
K04,3x3_Gaussian,3,Gaussian,18,True,65.52,66.67,40.19,55.75,70.22,73.72,76.26,77.69
K05,5x5_Cross,5,Cross,9,False,66.28,66.84,41.03,56.65,70.53,76.62,76.68,77.29
K06,5x5_Box,5,Box,25,False,66.32,66.32,38.92,48.19,70.53,79.52,81.53,80.20
K07,5x5_Gaussian,5,Gaussian,50,True,64.79,64.79,41.24,52.92,70.22,74.11,75.03,75.88
K08,7x7_Cross,7,Cross,13,False,64.89,64.89,38.61,50.91,71.47,76.23,76.47,76.58
K09,7x7_Box,7,Box,49,False,68.15,69.84,39.77,52.22,75.65,79.71,80.80,81.61
K10,7x7_Gaussian,7,Gaussian,98,True,64.77,64.77,39.66,56.25,68.13,74.49,75.23,75.48
K11,11x11_Cross,11,Cross,21,False,65.84,66.16,37.34,53.02,69.91,76.81,78.95,80.00
K12,11x11_Box,11,Box,121,False,68.89,68.89,40.72,50.81,71.68,81.64,85.76,83.32
K13,11x11_Gaussian,11,Gaussian,242,True,66.54,66.54,42.09,54.13,71.89,76.62,76.78,78.09
K14,15x15_Box,15,Box,225,False,67.44,67.44,40.30,54.03,72.41,79.03,79.77,79.10
K15,15x15_Gaussian,15,Gaussian,450,True,65.96,66.82,39.98,55.75,71.89,76.04,76.78,76.18
